시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2017,서울특별시,동대문구,섬      유,"1,894,419","2,045,018","1,879,369","1,713,190","1,466,841","1,598,228","1,863,772","2,157,577","1,960,699","1,500,173","1,584,498","1,884,848",
2017,서울특별시,동대문구,의복. 모피,"2,430,672","2,611,120","2,477,644","2,329,259","2,019,628","2,153,365","2,424,022","2,757,763","2,644,660","2,089,433","2,159,548","2,556,124",
2017,서울특별시,동대문구,가죽. 신발,"81,616","83,687","71,810","58,668","41,885","53,500","83,653","102,379","92,366","69,441","65,519","105,171",
2017,서울특별시,동대문구,목재. 나무,"20,256","21,187","18,793","16,696","13,684","14,650","16,563","19,912","16,693","12,981","13,477","18,995",
2017,서울특별시,동대문구,펄프. 종이,"91,792","100,243","85,955","82,878","65,972","70,519","71,014","74,082","67,508","50,797","61,333","85,467",
2017,서울특별시,동대문구,출판. 인쇄,"239,487","238,387","221,484","222,017","187,966","195,376","200,501","232,976","207,607","154,800","192,581","232,523",
2017,서울특별시,동대문구,석유  정제,"57,706","54,259","37,459","22,949","19,133","19,954","18,288","23,693","47,088","67,934","95,250","72,241",
2017,서울특별시,동대문구,화학  제품,"64,615","63,552","54,242","47,940","40,811","42,882","49,313","49,929","46,307","36,921","45,001","56,677",
2017,서울특별시,동대문구,고무. 플라,"128,055","136,517","124,209","122,405","99,873","107,678","124,719","141,096","131,060","101,107","105,210","122,457",
2017,서울특별시,동대문구,유      리,"12,888","12,460","12,305","6,037","3,629","3,592","4,106","4,559","4,355","3,318","4,600","8,043",
2017,서울특별시,동대문구,시  멘  트,"15,844","15,120","11,877","9,926","7,650","7,926","10,924","11,169","7,461","6,019","7,522","10,672",
2017,서울특별시,동대문구,1차   금속,"107,363","107,438","96,428","80,499","66,774","108,833","78,724","83,514","83,905","58,472","71,370","97,057",
2017,서울특별시,동대문구,조립  금속,"244,047","244,454","207,173","171,201","128,316","141,252","148,968","156,348","139,634","106,565","144,347","228,401",
2017,서울특별시,동대문구,기타  기계,"161,679","171,109","145,923","125,716","104,686","108,021","171,593","186,311","151,510","118,322","143,835","190,170",
2017,서울특별시,동대문구,사무  기기,"4,116","6,108","30,948","31,180","35,333","41,497","41,852","37,492","34,731","31,118","30,372","29,306",
2017,서울특별시,동대문구,전기  기기,"83,436","83,077","74,940","68,302","51,865","64,477","28,991","35,297","31,335","19,984","25,624","46,244",
2017,서울특별시,동대문구,영상. 음향,"34,776","39,722","28,224","20,366","15,371","20,734","26,489","28,919","23,723","14,857","16,084","28,885",
2017,서울특별시,동대문구,의료. 광학,"226,340","230,033","194,671","181,914","136,767","125,842","199,098","207,052","185,200","143,691","158,380","219,154",
2017,서울특별시,동대문구,자  동  차,"34,715","35,647","29,448","22,758","16,398","18,818","22,461","23,785","23,815","16,133","23,707","34,802",
2017,서울특별시,동대문구,기타  운송,"451,109","441,804","327,339","229,180","170,983","13,024","36,116","115,844","147,299","374,496","490,474","485,440",
2017,서울특별시,동대문구,가구및기타,"194,799","188,688","168,958","150,756","124,759","130,035","153,974","168,966","151,554","118,918","135,704","182,357",
2017,서울특별시,동대문구,수      도,"744,321","747,440","671,679","735,056","727,402","752,517","749,070","781,592","747,880","737,856","735,803","745,227",
2017,서울특별시,동대문구,사업자  용,"175,341","182,473","167,753","181,995","180,003","194,980","215,720","193,027","171,848","161,264","158,858","161,565",
2017,서울특별시,동대문구,전      철,"4,832,979","5,024,771","4,267,323","4,473,939","4,303,344","4,728,735","5,917,215","6,607,614","5,812,475","4,683,644","4,802,714","4,921,328",
2017,서울특별시,동대문구,가정용부문,"41,749,555","42,430,992","36,728,221","37,866,043","35,211,646","36,555,710","42,566,678","52,282,209","40,757,121","35,531,098","37,061,138","40,355,791",
2017,서울특별시,동대문구,국  군  용,"3,891","3,632","3,157","3,392","2,758","2,843","3,038","3,641","4,170","2,350","4,089","3,751",
2017,서울특별시,동대문구,기타공공용,"8,752,182","8,721,152","7,980,541","6,771,869","6,014,247","7,102,557","8,404,339","8,140,687","7,594,064","5,969,513","7,170,562","9,964,336",
2017,서울특별시,동대문구,관  공  용,"3,369,324","3,233,586","2,763,222","2,338,649","2,168,343","2,421,132","2,975,716","3,252,438","3,000,471","2,537,061","2,880,199","3,925,146",
