,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1254,2017,전라북도,무주군,가로등,979755,962188,925475,954737,949846,952701,858271,885274,914621,897683,899164,914425
1255,2017,전라북도,무주군,심 야,4737870,5303531,4127343,3210969,1891524,1332200,958011,774283,804180,1155070,2184639,3742565
1256,2017,전라북도,무주군,합 계,24159052,22709891,18134020,16036261,13765984,14096540,14230824,15394552,14824437,13874798,17724032,23522704
1257,2017,전라북도,장수군,주택용,2314805,2401323,2049273,2205073,2078270,2060383,2010979,2328035,2145838,2121081,2235357,2288949
1258,2017,전라북도,장수군,일반용,3752198,3766261,3299461,3035540,2629536,2585415,2746721,3233222,2836180,2654818,2951204,3755416
1259,2017,전라북도,장수군,교육용,431564,429123,437061,453642,262264,228754,245361,202977,222579,189668,328496,530302
1260,2017,전라북도,장수군,산업용,4046852,3921863,3785004,3735880,3405190,3504266,3462341,3578425,3599146,3351700,3871179,4031217
1261,2017,전라북도,장수군,농사용,8969202,9400909,7208357,6104517,4323798,3897526,3914517,4483618,4405190,4490383,6563603,8608306
1262,2017,전라북도,장수군,가로등,652703,614373,643720,643605,635976,666767,642938,655579,669693,646824,674386,637277
1263,2017,전라북도,장수군,심 야,5014460,5600027,4363832,3562817,2059621,1302089,799194,619399,741172,1258574,2381716,4222187
1264,2017,전라북도,장수군,합 계,25181784,26133879,21786708,19741074,15394655,14245200,13822051,15101255,14619798,14713048,19005941,24073654
1265,2017,전라북도,임실군,주택용,2728735,2824677,2403589,2587246,2426613,2413450,2421330,2838801,2535188,2433544,2544436,2693719
1266,2017,전라북도,임실군,일반용,5615599,5682610,4935483,4417393,3801999,3875183,4432686,5034850,4203116,3778276,4469179,5462437
1267,2017,전라북도,임실군,교육용,330676,335878,332053,322511,206534,207371,258388,227987,237351,195968,308774,458522
1268,2017,전라북도,임실군,산업용,9583191,8614904,9604824,9411275,9387895,9677850,9392033,9400495,9464600,8794326,9059149,9618831
1269,2017,전라북도,임실군,농사용,6437257,6935384,5728994,4912562,3694627,4038866,4505513,5651017,5658385,4247423,5161685,8116722
1270,2017,전라북도,임실군,가로등,833891,801514,802642,804601,782071,813727,764918,787144,814036,831096,859514,865425
1271,2017,전라북도,임실군,심 야,3778570,4194788,3345985,2788028,1513001,901596,545608,424609,462105,824289,1665686,3111361
1272,2017,전라북도,임실군,합 계,29307919,29389755,27153570,25243616,21812740,21928043,22320476,24364903,23374781,21104922,24068423,30327017
1273,2017,전라북도,순창군,주택용,2774298,2882974,2426186,2621743,2466771,2457258,2582616,2999157,2596336,2489447,2656382,2775031
1274,2017,전라북도,순창군,일반용,4146442,4263872,3578610,3450671,2976423,3074923,3546106,4057873,3356194,2985745,3435479,4094815
1275,2017,전라북도,순창군,교육용,416228,408050,481675,342457,236963,244462,316265,288040,260471,215290,375201,560955
1276,2017,전라북도,순창군,산업용,6392518,6874983,7178834,7052972,7121333,7424797,7517252,7108112,7251742,6303698,7098135,7459028
1277,2017,전라북도,순창군,농사용,5074955,5167218,4615896,4386829,4462713,5391241,6060024,7250261,7245473,5435996,9328542,5017982
1278,2017,전라북도,순창군,가로등,511902,448545,449244,403104,361053,331729,376417,397596,405145,454961,470315,498233
1279,2017,전라북도,순창군,심 야,3427488,3811107,2997444,2484824,1399128,846528,529634,398136,466345,827193,1741351,2922289
